Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,¿En qué versión fue corregido?,Estrategia de ejecución
riesgo,MOB-589,1,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Alta,Resuelto,Sprint 2,Integración,Funcional,Unitaria,Datos,Datalake,Mainframe,Construcción,Pruebas,Laura Ortega,1/11/2025,v1.0.1,Laura Ortega,Sprint 12,v1.0.2,Manual
Incidente,POS-101,2,Los datos exportados no coinciden con los mostrados en pantalla.,Verificar herencia del objeto,Baja,Cerrado,Sprint 17,Funcional,Seguridad,integracion,Software IA,CRM,Mainframe,Requisitos,Desarrollo,Laura Ortega,12/30/2024,v1.0.1,Raúl Espinosa,,v1.0.2,Manual
Defecto,MOB-589,3,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Baja,Cerrado,Sprint 10,Integración,Datos,Sistema,Software IA,DWH,On-Premise- Hibrido,Operacion,Pruebas,Paula Navarro,3/27/2025,v1.0.1,Mariana Cárdenas,Sprint 14,v1.0.2,Manual
Incidente,KIOS-411,4,La función de autocompletado no sugiere valores esperados.,Verificar herencia del objeto,Media,Resuelto,Sprint 18,Exploratoria,Usabilidad,Sistema,Software Tradicional,ERP,Cloud,Construcción,Producción,Antonella Duque,3/27/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
sugerencia,KIOS-411,5,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Crítica,Cerrado,Sprint 6,Funcional,Funcional,integracion,Software Tradicional,DWH,Cloud,Requisitos,Pruebas,Pedro Cruz,3/26/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Automatizada
Defecto,MOB-589,6,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Alta,Cerrado,Sprint 12,Funcional,Seguridad,UAT,Software Tradicional,DWH,Cloud,Ideación,Pruebas,Camila Vargas,7/9/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
riesgo,POS-101,7,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,Reabierto,Sprint 13,Funcional,Seguridad,UAT,Software IA,DWH,Cloud,Requisitos,Producción,Juan Pérez,1/17/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Manual
Incidente,CORE-568,8,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Alta,Resuelto,Sprint 2,Aceptación,Funcional,integracion,Software IA,Datalake,Mainframe,Requisitos,Pruebas,Valentina Castillo,7/21/2025,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Defecto,API-073,9,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Alta,Resuelto,Sprint 0,Funcional,Seguridad,Sistema,Datos,Datalake,Cloud,Requisitos,Sandbox,Esteban Méndez,10/18/2025,v1.0.1,Esteban Méndez,,v1.0.2,Manual
riesgo,POS-101,10,Los errores de validación no se muestran en tiempo real.,Verificar herencia del objeto,Alta,Rechazado,Sprint 11,Carga,Funcional,Unitaria,Datos,Datalake,On-Premise- Hibrido,Operacion,Desarrollo,Paula Navarro,3/28/2025,v1.0.1,Mateo Linares,,v1.0.2,Manual
riesgo,KIOS-411,11,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Baja,En progreso,Sprint 8,Funcional,Funcional,Unitaria,Datos,DWH,Cloud,Requisitos,Pre-Producción,Esteban Méndez,2/6/2024,v1.0.1,Sebastián Cortés,Sprint 11,v1.0.2,Automatizada
Incidente,BD-921,12,Datos no persisten después de actualizar la página.,Verificar herencia del objeto,Media,Resuelto,Sprint 20,Funcional,Funcional,Sistema,SAP,DWH,Mainframe,Construcción,ShadowDR),Jorge Ramírez,3/25/2024,v1.0.1,Isabela Aguirre,,v1.0.2,Automatizada
Defecto,KIOS-411,13,Problema de compatibilidad en navegadores móviles.,Verificar herencia del objeto,Baja,Resuelto,Sprint 10,Exploratoria,Funcional,UAT,Datos,Datalake,Cloud,Operacion,Sandbox,Esteban Méndez,7/2/2024,v1.0.1,Mariana Cárdenas,,v1.0.2,Manual
Defecto,POS-101,14,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Reabierto,Sprint 16,Funcional,Funcional,Sistema,Software IA,Datalake,Mainframe,Operacion,Sandbox,Daniela Ríos,6/12/2025,v1.0.1,Lucía Fernández,Sprint 17,v1.0.2,Automatizada
riesgo,WEB-342,15,Inconsistencias en el formato de fechas en reportes.,Verificar herencia del objeto,Media,Cerrado,Sprint 1,Funcional,Funcional,UAT,Software Tradicional,Datalake,Mainframe,Operacion,Pruebas,Pedro Cruz,6/25/2024,v1.0.1,Sebastián Cortés,,v1.0.2,Automatizada
Incidente,POS-101,16,El sistema no responde al hacer clic en ciertos botones.,Verificar herencia del objeto,Baja,Reabierto,Sprint 16,Funcional,Desempeño,Sistema,SAP,ERP,On-Premise- Hibrido,Construcción,Pre-Producción,Sebastián Cortés,1/1/2025,v1.0.1,Pedro Cruz,Sprint 17,v1.0.2,Manual
Defecto,BD-921,17,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Media,Pendiente,Sprint 8,Carga,Seguridad,Sistema,SAP,CORE Banking,Mainframe,Ideación,Sandbox,Ana López,5/13/2025,v1.0.1,Miguel Herrera,Sprint 9,v1.0.2,Manual
Incidente,KIOS-411,18,Se generan logs con errores de NullPointerException.,Verificar herencia del objeto,Baja,Resuelto,Sprint 3,Smoke,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Operacion,Producción,Isabela Aguirre,3/17/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Incidente,BD-921,19,La carga del módulo tarda más de lo esperado.,Verificar herencia del objeto,Baja,Pendiente,Sprint 16,Funcional,Desempeño,Sistema,SAP,Datalake,Cloud,Requisitos,Pre-Producción,Laura Ortega,9/24/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Defecto,CORE-568,20,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Baja,Reabierto,Sprint 15,Regresión,Desempeño,Sistema,SAP,CRM,On-Premise- Hibrido,Ideación,Integracion,Gabriela Paredes,5/7/2025,v1.0.1,Mariana Cárdenas,Sprint 20,v1.0.2,Manual
Incidente,WEB-342,21,Permisos incorrectos asignados a usuarios estándar.,Verificar herencia del objeto,Crítica,Resuelto,Sprint 18,Funcional,Funcional,integracion,SAP,CRM,On-Premise- Hibrido,Requisitos,Integracion,Esteban Méndez,1/31/2025,v1.0.1,Lucía Fernández,,v1.0.2,Automatizada
riesgo,CORE-568,22,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,Reabierto,Sprint 16,Regresión,Funcional,UAT,Software Tradicional,CRM,Cloud,Operacion,Sandbox,Gabriela Paredes,3/16/2024,v1.0.1,Jorge Ramírez,Sprint 17,v1.0.2,Manual
Defecto,MOB-589,23,El componente de búsqueda no filtra adecuadamente.,Verificar herencia del objeto,Media,Rechazado,Sprint 7,Funcional,Funcional,integracion,Software Tradicional,CORE Banking,Cloud,Ideación,Sandbox,Paula Navarro,5/2/2024,v1.0.1,Raúl Espinosa,Sprint 19,v1.0.2,Automatizada
Defecto,MOB-589,24,Problema de compatibilidad en navegadores móviles.,Verificar herencia del objeto,Crítica,Rechazado,Sprint 0,Funcional,Usabilidad,integracion,Datos,ERP,Mainframe,Construcción,ShadowDR),Valentina Castillo,3/30/2024,v1.0.1,Daniela Ríos,Sprint 0,v1.0.2,Manual
Defecto,POS-101,25,El botón de envío permanece inactivo aún con campos completos.,Verificar herencia del objeto,Media,En progreso,Sprint 12,Sanity,Seguridad,Sistema,Software IA,Datalake,On-Premise- Hibrido,Ideación,Pre-Producción,Isabela Aguirre,11/18/2024,v1.0.1,Sofía Morales,Sprint 13,v1.0.2,Manual
riesgo,API-073,26,Fallo en la navegación entre pantallas del módulo principal.,Verificar herencia del objeto,Media,Reabierto,Sprint 16,Funcional,Funcional,integracion,Software IA,Datalake,Mainframe,Operacion,Pruebas,Mariana Cárdenas,5/10/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Automatizada
